,Nama Sekolah,Status,Peserta Didik,Rombongan Belajar,Guru,Pegawai,R. Kelas,R. Lab,R. Perpus,Latitude,Langitude,Andir,Antapani,Arcamanik,Astanaanyar,Babakan Ciparay,Bandung Kidul,Bandung Kulon,Bandung Wetan,Batununggal,Bojongloa Kaler,Bojongloa Kidul,Buahbatu,Cibeunying Kaler,Cibeunying Kidul,Cibiru,Cicendo,Cidadap,Cinambo,Coblong,Gedebage,Kiaracondong,Lengkong,Mandalajati,Panyileukan,Rancasari,Regol,Sukajadi,Sukasari,Sumur Bandung,Ujungberung,Clusters
0,SMP NEGERI 55,0,419,13,15,3,14,0,0,6.9376,107.5653,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,SMP NEGERI 57,0,473,15,19,6,17,0,0,6.9376,107.5653,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,SMP BPK PENABUR HOLIS,1,326,12,27,12,20,4,1,6.9376,107.5653,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,SMP BPPI BOJONG,1,42,3,7,1,3,1,1,6.9376,107.5653,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4,SMP CITRA CEMARA,1,120,6,9,2,6,1,1,6.9376,107.5653,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5,SMP PASUNDAN 7,1,702,21,26,8,21,2,1,6.9376,107.5653,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
6,SMP PLUS SINDANG RESMI,1,193,6,7,3,6,2,1,6.9376,107.5653,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
7,SMP YPKKP,1,486,17,14,9,9,1,1,6.9376,107.5653,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
8,SMP NEGERI 21,0,725,24,33,9,25,3,1,6.9423,107.5771,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,SMP NEGERI 36,0,780,26,40,13,28,2,1,6.9423,107.5771,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SMP NEGERI 39,0,751,25,38,10,25,2,1,6.9423,107.5771,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,SMP MUTIARA 3,1,106,3,7,1,3,2,1,6.9423,107.5771,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
